Seq_name,GFP_1_1,GFP_1_2,GFP_2_1,GFP_2_2,GFP_3_1,GFP_3_2,GFP_4_1,GFP_4_2,GFP_5_1,GFP_5_2,GFP_6_1,GFP_6_2,GFP_7_1,GFP_7_2,GFP_8_1,GFP_8_2
pep3_3cluster_LIVM_3,3.0,31.0,143.0,81.0,74.0,26.0,910.0,136.0,3345.0,2721.0,10709.0,3406.0,24353.0,11859.0,28963.0,33170.0
pep3_3cluster_LIVM_4,175.0,537.0,1165.0,839.0,44.0,415.0,288.0,159.0,489.0,472.0,0.0,443.0,0.0,0.0,1.0,3.0
pep3_3cluster_LIVM_5,355.0,123.0,206.0,165.0,82.0,86.0,151.0,27.0,812.0,1672.0,3.0,189.0,2.0,8654.0,0.0,0.0
pep3_3cluster_NQ_1,58.0,819.0,765.0,822.0,351.0,3507.0,1186.0,1938.0,2331.0,357.0,1184.0,536.0,1028.0,1596.0,0.0,3.0
pep3_3cluster_NQ_2,1310.0,247.0,3102.0,883.0,1263.0,3244.0,2041.0,2795.0,1969.0,2230.0,2640.0,912.0,1197.0,823.0,0.0,66.0
pep3_3cluster_NQ_3,773.0,409.0,1765.0,1653.0,510.0,551.0,639.0,1837.0,1.0,1553.0,906.0,26.0,3.0,786.0,0.0,1.0
pep3_3cluster_NQ_4,561.0,943.0,5627.0,1651.0,1182.0,3085.0,1536.0,1556.0,1497.0,2107.0,1663.0,234.0,1.0,2397.0,1.0,21.0
pep3_3cluster_NQ_5,1607.0,1485.0,2987.0,793.0,653.0,924.0,319.0,877.0,18.0,105.0,351.0,656.0,2.0,1.0,0.0,5.0
pep3_3cluster_ST_1,146.0,306.0,3230.0,781.0,578.0,1126.0,796.0,1707.0,3031.0,2297.0,2538.0,1776.0,12558.0,5360.0,14948.0,8412.0
pep3_3cluster_ST_2,5.0,371.0,1127.0,974.0,414.0,2312.0,542.0,1694.0,196.0,1422.0,2085.0,865.0,2573.0,479.0,1.0,4.0
pep3_3cluster_ST_3,542.0,25.0,1997.0,244.0,127.0,570.0,1113.0,3351.0,3549.0,2220.0,4293.0,1096.0,8247.0,8176.0,12635.0,5.0
pep3_3cluster_ST_4,1463.0,50.0,2943.0,1402.0,724.0,2507.0,813.0,5200.0,2115.0,3768.0,1872.0,455.0,732.0,1745.0,0.0,1.0
pep3_3cluster_ST_5,11.0,778.0,2147.0,1045.0,579.0,2939.0,2258.0,537.0,2807.0,2566.0,3716.0,1350.0,1010.0,6818.0,17.0,15.0
pep3_3cluster_S_1,5417.0,1764.0,2349.0,603.0,34.0,141.0,456.0,443.0,23.0,275.0,0.0,369.0,0.0,463.0,0.0,321.0
pep3_3cluster_S_2,3378.0,1071.0,5182.0,3336.0,981.0,3042.0,1467.0,1618.0,849.0,1153.0,523.0,446.0,1.0,1.0,1.0,2.0
pep3_3cluster_S_3,3893.0,994.0,7475.0,2723.0,2063.0,5733.0,1228.0,2393.0,1703.0,340.0,1398.0,150.0,2.0,2.0,0.0,2.0
pep3_3cluster_S_4,2157.0,1555.0,3350.0,2000.0,848.0,1248.0,73.0,319.0,190.0,194.0,1.0,33.0,2164.0,0.0,0.0,1.0
pep3_3cluster_S_5,4646.0,1453.0,5372.0,4657.0,708.0,4350.0,789.0,2404.0,1248.0,1941.0,136.0,664.0,1.0,1.0,0.0,3.0
pep3_4cluster_LIVM_1,657.0,278.0,569.0,320.0,0.0,300.0,800.0,207.0,0.0,58.0,51.0,0.0,1.0,1.0,1.0,1.0
pep3_4cluster_LIVM_2,760.0,373.0,1781.0,893.0,226.0,652.0,327.0,897.0,1087.0,856.0,1602.0,1583.0,1563.0,2063.0,3.0,0.0
pep3_4cluster_LIVM_3,2.0,88.0,1568.0,744.0,2.0,242.0,141.0,19.0,578.0,2.0,140.0,2.0,0.0,0.0,1678.0,3163.0
pep3_4cluster_LIVM_4,825.0,40.0,424.0,967.0,69.0,166.0,672.0,1561.0,2513.0,537.0,1767.0,445.0,3902.0,939.0,1743.0,3.0
pep3_4cluster_LIVM_5,259.0,165.0,397.0,261.0,0.0,950.0,1.0,403.0,94.0,0.0,0.0,325.0,165.0,0.0,0.0,0.0
pep3_4cluster_NQ_1,1055.0,540.0,2329.0,1281.0,415.0,702.0,652.0,816.0,645.0,1159.0,1.0,904.0,820.0,0.0,2.0,1.0
pep3_4cluster_NQ_2,5108.0,1708.0,3507.0,1716.0,572.0,1342.0,575.0,901.0,232.0,530.0,1305.0,50.0,1.0,0.0,1.0,3861.0
pep3_4cluster_NQ_3,2882.0,1915.0,2618.0,2444.0,1741.0,3153.0,627.0,1590.0,663.0,1466.0,37.0,2.0,0.0,0.0,1.0,1.0
pep3_4cluster_NQ_4,2769.0,1187.0,1707.0,3765.0,306.0,1128.0,523.0,187.0,13.0,192.0,0.0,0.0,2.0,0.0,1.0,4.0
pep3_4cluster_NQ_5,2351.0,378.0,2285.0,866.0,184.0,591.0,534.0,707.0,24.0,209.0,27.0,80.0,405.0,0.0,0.0,0.0
pep3_4cluster_ST_1,199.0,41.0,502.0,9.0,125.0,188.0,813.0,831.0,2010.0,2690.0,2515.0,1844.0,2775.0,2620.0,1.0,541.0
pep3_4cluster_ST_2,120.0,220.0,2517.0,2259.0,346.0,2770.0,1356.0,1932.0,2044.0,2221.0,3916.0,818.0,4416.0,94.0,3597.0,14179.0
pep3_4cluster_ST_3,605.0,393.0,1362.0,2599.0,785.0,3033.0,842.0,1546.0,1612.0,3006.0,786.0,572.0,2.0,115.0,5.0,11547.0
pep3_4cluster_ST_4,406.0,4.0,386.0,1351.0,319.0,846.0,412.0,3147.0,2418.0,647.0,4784.0,1340.0,116.0,6488.0,6234.0,6732.0
pep3_4cluster_ST_5,159.0,203.0,509.0,1847.0,533.0,2152.0,75.0,609.0,1681.0,716.0,2702.0,866.0,0.0,730.0,0.0,1893.0
pep3_4cluster_S_1,2692.0,1938.0,2388.0,2522.0,982.0,3827.0,875.0,564.0,0.0,555.0,193.0,1.0,1.0,0.0,1.0,1.0
pep3_4cluster_S_2,4697.0,2280.0,4496.0,3474.0,999.0,2006.0,1859.0,3553.0,989.0,1769.0,1407.0,502.0,0.0,2.0,1.0,1.0
pep3_4cluster_S_3,1996.0,1039.0,2572.0,2454.0,649.0,2210.0,707.0,1436.0,580.0,192.0,459.0,172.0,1.0,1.0,1.0,2.0
pep3_4cluster_S_4,3090.0,820.0,3295.0,2466.0,636.0,4250.0,729.0,2281.0,1172.0,392.0,167.0,393.0,6.0,0.0,0.0,3.0
pep3_4cluster_S_5,2600.0,348.0,3481.0,1117.0,1028.0,2298.0,812.0,1865.0,1687.0,1990.0,241.0,671.0,2.0,660.0,0.0,2.0
pep3_GSY1_1,3123.0,585.0,1255.0,745.0,154.0,0.0,0.0,124.0,0.0,336.0,0.0,869.0,0.0,1571.0,2.0,0.0
pep3_GSY1_181,478.0,605.0,929.0,579.0,459.0,845.0,727.0,558.0,797.0,279.0,240.0,1.0,0.0,2.0,1.0,2.0
pep3_GSY1_271,3.0,352.0,362.0,2.0,3.0,1836.0,454.0,718.0,1987.0,3482.0,17495.0,3430.0,18336.0,14574.0,31170.0,12551.0
pep3_GSY1_361,2352.0,354.0,1188.0,1882.0,1.0,0.0,12.0,923.0,167.0,502.0,0.0,0.0,1249.0,1.0,1.0,0.0
pep3_GSY1_451,517.0,242.0,1072.0,1591.0,903.0,1521.0,1896.0,1444.0,10216.0,8000.0,18392.0,6568.0,15600.0,10549.0,22.0,11.0
pep3_GSY1_541,451.0,85.0,541.0,277.0,362.0,1149.0,10.0,840.0,1184.0,633.0,258.0,8.0,0.0,1.0,142.0,5.0
pep3_GSY1_91,105.0,259.0,29.0,67.0,142.0,125.0,62.0,662.0,317.0,432.0,1284.0,1829.0,24558.0,5027.0,80066.0,50661.0
pep3_HXK1_1,648.0,150.0,3152.0,1910.0,730.0,2283.0,854.0,2182.0,1984.0,4588.0,2408.0,1717.0,1998.0,7.0,3054.0,6.0
pep3_HXK1_181,269.0,88.0,136.0,1674.0,475.0,1553.0,1236.0,4313.0,2833.0,6076.0,7980.0,4797.0,4945.0,15539.0,7388.0,13815.0
pep3_HXK1_271,743.0,644.0,2039.0,1956.0,1108.0,1443.0,2349.0,3331.0,4054.0,5189.0,2757.0,2863.0,4.0,3.0,4.0,90.0
pep3_HXK1_361,3213.0,199.0,3053.0,2644.0,2315.0,4354.0,2592.0,4484.0,4376.0,1532.0,50.0,449.0,0.0,805.0,3.0,8923.0
pep3_HXK1_91,607.0,81.0,1147.0,1040.0,348.0,1901.0,699.0,2100.0,6337.0,6820.0,18668.0,8976.0,18751.0,17609.0,3025.0,8417.0
pep3_TDH3_1,969.0,50.0,3163.0,3387.0,1413.0,6201.0,3317.0,4855.0,10349.0,5062.0,12878.0,5537.0,1761.0,6977.0,4979.0,13.0
pep3_TDH3_181,11177.0,3485.0,10950.0,6161.0,3158.0,6243.0,2149.0,2306.0,1807.0,1687.0,2.0,196.0,1.0,1.0,40.0,1.0
pep3_TDH3_91,107.0,136.0,3641.0,1625.0,1119.0,2863.0,1346.0,2170.0,2689.0,4310.0,4437.0,2221.0,3085.0,1448.0,1.0,26.0
pep3_random10_ED,323.0,12.0,74.0,136.0,0.0,209.0,80.0,381.0,26.0,1022.0,129.0,120.0,0.0,0.0,0.0,1.0
pep3_random10_FYW,106.0,225.0,1117.0,0.0,165.0,365.0,131.0,530.0,0.0,1.0,0.0,133.0,0.0,0.0,0.0,0.0
pep3_random10_GP,473.0,462.0,1387.0,1704.0,765.0,1251.0,543.0,750.0,1561.0,950.0,1806.0,104.0,2.0,1109.0,1.0,4.0
pep3_random10_KR,946.0,2.0,236.0,127.0,94.0,0.0,3.0,254.0,446.0,0.0,121.0,138.0,0.0,0.0,1.0,0.0
pep3_random10_LIVM,681.0,175.0,717.0,573.0,334.0,551.0,667.0,215.0,743.0,949.0,3.0,52.0,779.0,1663.0,305.0,7054.0
pep3_random10_NQ,0.0,106.0,3254.0,877.0,453.0,1864.0,430.0,1061.0,869.0,1231.0,476.0,114.0,0.0,1.0,0.0,1.0
pep3_random10_S,73.0,67.0,148.0,1276.0,560.0,1978.0,160.0,424.0,135.0,8.0,93.0,192.0,407.0,0.0,0.0,0.0
pep3_random10_ST,817.0,340.0,1554.0,1355.0,566.0,386.0,116.0,461.0,120.0,90.0,0.0,1.0,18.0,0.0,173.0,0.0
pep3_random1_ED,203.0,104.0,125.0,517.0,270.0,394.0,438.0,363.0,17.0,1.0,1735.0,182.0,608.0,650.0,0.0,0.0
pep3_random1_FYW,922.0,124.0,717.0,678.0,70.0,164.0,0.0,312.0,136.0,157.0,124.0,0.0,1.0,0.0,0.0,0.0
pep3_random1_GP,1313.0,216.0,1541.0,943.0,295.0,904.0,452.0,680.0,919.0,1524.0,1.0,927.0,0.0,2.0,3.0,1.0
pep3_random1_KR,333.0,219.0,135.0,1049.0,203.0,267.0,654.0,603.0,1073.0,241.0,552.0,471.0,420.0,684.0,0.0,0.0
pep3_random1_LIVM,862.0,57.0,309.0,0.0,0.0,122.0,0.0,385.0,4.0,61.0,3.0,0.0,0.0,0.0,0.0,1.0
pep3_random1_NQ,62.0,17.0,688.0,1098.0,68.0,1026.0,318.0,2036.0,1067.0,394.0,869.0,125.0,1.0,0.0,2.0,346.0
pep3_random1_S,180.0,281.0,446.0,182.0,415.0,1486.0,612.0,570.0,740.0,396.0,50.0,74.0,126.0,0.0,0.0,0.0
pep3_random1_ST,366.0,304.0,2228.0,429.0,176.0,1262.0,704.0,790.0,1804.0,1774.0,2456.0,388.0,0.0,0.0,1.0,2.0
pep3_random2_ED,259.0,116.0,1142.0,189.0,257.0,345.0,297.0,69.0,508.0,113.0,508.0,132.0,0.0,4050.0,0.0,0.0
pep3_random2_FYW,532.0,48.0,1.0,742.0,52.0,175.0,127.0,41.0,109.0,444.0,487.0,86.0,0.0,0.0,0.0,0.0
pep3_random2_GP,284.0,264.0,679.0,9.0,126.0,1467.0,449.0,31.0,298.0,1409.0,590.0,0.0,141.0,1.0,0.0,0.0
pep3_random2_KR,412.0,62.0,282.0,0.0,79.0,1597.0,749.0,1101.0,87.0,203.0,0.0,41.0,1.0,2446.0,0.0,1.0
pep3_random2_LIVM,93.0,202.0,413.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pep3_random2_NQ,1037.0,370.0,775.0,394.0,157.0,902.0,0.0,335.0,1.0,43.0,1.0,16.0,1345.0,345.0,0.0,0.0
pep3_random2_S,615.0,466.0,721.0,777.0,218.0,224.0,582.0,302.0,1549.0,401.0,451.0,285.0,2.0,0.0,0.0,0.0
pep3_random2_ST,1705.0,227.0,2548.0,583.0,698.0,410.0,0.0,1132.0,1542.0,190.0,44.0,53.0,12.0,354.0,0.0,0.0
pep3_random3_ED,727.0,282.0,1785.0,722.0,92.0,751.0,344.0,115.0,3.0,916.0,2583.0,0.0,1212.0,0.0,0.0,33.0
pep3_random3_FYW,297.0,212.0,643.0,142.0,99.0,67.0,1.0,125.0,296.0,31.0,641.0,0.0,0.0,0.0,1.0,0.0
pep3_random3_GP,567.0,311.0,1563.0,1068.0,184.0,2074.0,507.0,1316.0,1973.0,1625.0,975.0,329.0,1459.0,0.0,0.0,5.0
pep3_random3_KR,1614.0,255.0,678.0,65.0,658.0,557.0,2.0,488.0,729.0,17.0,2.0,14.0,1.0,1.0,2.0,0.0
pep3_random3_LIVM,1.0,7.0,1.0,47.0,27.0,255.0,19.0,270.0,12.0,100.0,0.0,25.0,1.0,0.0,0.0,0.0
pep3_random3_NQ,48.0,314.0,1112.0,577.0,124.0,792.0,286.0,275.0,0.0,544.0,297.0,652.0,0.0,0.0,350.0,2.0
pep3_random3_S,352.0,485.0,2025.0,2038.0,285.0,783.0,362.0,115.0,539.0,805.0,1533.0,181.0,159.0,621.0,1.0,2.0
pep3_random3_ST,278.0,120.0,896.0,346.0,0.0,159.0,122.0,181.0,106.0,0.0,180.0,0.0,0.0,0.0,0.0,1.0
pep3_random4_ED,97.0,35.0,0.0,0.0,99.0,62.0,0.0,217.0,329.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0
pep3_random4_FYW,637.0,392.0,742.0,141.0,81.0,185.0,0.0,173.0,926.0,159.0,1.0,33.0,0.0,2898.0,2.0,3.0
pep3_random4_GP,0.0,133.0,40.0,153.0,802.0,426.0,580.0,289.0,1039.0,515.0,592.0,216.0,2.0,0.0,0.0,1.0
pep3_random4_KR,294.0,817.0,1083.0,184.0,0.0,1.0,373.0,621.0,893.0,0.0,742.0,19.0,0.0,185.0,3.0,2291.0
